"Cyr Name","Lat Name","Total","Montenegrins","Serbs","Albanians","Bosniaks","Muslims by Nationality","Roma","Croats","Rest","Untold","Regional identity","Unknown"
"Андријевица","Andrijevica",5785,1454,4027,0,0,8,0,2,14,216,2,62
"Бар","Bar",40037,18919,11084,3046,919,2575,56,259,652,1584,55,888
"Беране","Berane",35068,8950,16309,36,5662,2301,119,46,179,1188,7,271
"Бијело Поље","Bijelo Polje",50284,8936,20275,31,11377,7936,133,45,146,847,4,554
"Будва","Budva",15909,7211,6502,55,24,204,39,178,415,1116,24,141
"Цетиње","Cetinje",18482,16758,853,43,5,22,129,49,137,277,4,205
"Даниловград","Danilovgrad",16523,11210,4215,7,1,58,5,46,103,467,18,393
"Херцег Нови","Herceg Novi",33034,9447,17470,25,79,220,198,798,773,2746,530,748
"Колашин","Kolašin",9949,5039,4454,1,1,32,0,11,58,331,1,21
"Котор","Kotor",22947,10741,7094,76,16,106,48,1762,522,2165,202,215
"Мојковац","Mojkovac",10066,5513,4139,2,9,14,0,4,35,322,11,17
"Никшић","Nikšic",75282,47154,20129,28,148,695,335,132,638,5214,37,772
"Плав","Plav",13805,765,2613,2719,6809,788,0,4,46,39,2,20
"Пљевља","Pljevlja",35806,7704,21522,8,1865,2913,0,16,145,1437,26,170
"Плужине","Plužine",4272,1393,2585,0,0,1,0,1,12,263,1,16
"Подгорица","Podgorica",169132,96343,44423,9296,2307,4399,1389,709,1834,6978,221,1233
"Рожаје","Rožaje",22693,440,904,1008,18628,1510,15,4,20,53,3,108
"Шавник","Šavnik",2947,1380,1398,0,0,5,0,3,23,98,0,40
"Тиват","Tivat",13630,4082,4796,144,37,156,20,2663,378,1117,98,139
"Улцињ","Ulcinj",20290,2421,1509,14638,297,681,115,77,200,186,11,155
"Жабљак","Žabljak",4204,1809,2113,0,0,1,0,2,16,262,1,0
